#==============================================================================
#
# シーンデータスクリプト
# Author : masayasu wakita
#
#==============================================================================
SCRIPT

FIELDSET
	POS = 0.00 0.00 0.00
	VERTEXINFO
		-19451.00, -5000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-19451.00, -2000.00, -18838.00, 1.00, 1.00, 1.00, 1.00
		-20720.00, -5000.00, -18790.00, 1.00, 1.00, 1.00, 1.00
		-20720.00, -2000.00, -18790.00, 1.00, 1.00, 1.00, 1.00
		-22397.00, -5000.00, -17450.00, 1.00, 1.00, 1.00, 1.00
		-22397.00, -2000.00, -17450.00, 1.00, 1.00, 1.00, 1.00
		-24006.00, -5000.00, -15672.00, 1.00, 1.00, 1.00, 1.00
		-24006.00, -2000.00, -15672.00, 1.00, 1.00, 1.00, 1.00
		-24686.00, -5000.00, -13590.00, 1.00, 1.00, 1.00, 1.00
		-24686.00, -2000.00, -13590.00, 1.00, 1.00, 1.00, 1.00
		-23411.00, -5000.00, -6421.00, 1.00, 1.00, 1.00, 1.00
		-23411.00, -2000.00, -6421.00, 1.00, 1.00, 1.00, 1.00
		-24553.00, -5000.00, -3477.00, 1.00, 1.00, 1.00, 1.00
		-24553.00, -2000.00, -3477.00, 1.00, 1.00, 1.00, 1.00
		-25311.00, -5000.00, -1166.00, 1.00, 1.00, 1.00, 1.00
		-25311.00, -2000.00, -1166.00, 1.00, 1.00, 1.00, 1.00
		-24976.00, -5000.00, 1316.00, 1.00, 1.00, 1.00, 1.00
		-24976.00, -2000.00, 1316.00, 1.00, 1.00, 1.00, 1.00
		-22503.00, -5000.00, 3700.00, 1.00, 1.00, 1.00, 1.00
		-22503.00, -2000.00, 3700.00, 1.00, 1.00, 1.00, 1.00
		-22350.00, -5000.00, 7044.00, 1.00, 1.00, 1.00, 1.00
		-22350.00, -2000.00, 7044.00, 1.00, 1.00, 1.00, 1.00
		-20543.00, -5000.00, 12598.00, 1.00, 1.00, 1.00, 1.00
		-20543.00, -2000.00, 12598.00, 1.00, 1.00, 1.00, 1.00
		-17285.00, -5000.00, 13632.00, 1.00, 1.00, 1.00, 1.00
		-17285.00, -2000.00, 13632.00, 1.00, 1.00, 1.00, 1.00
		-12183.00, -5000.00, 17149.00, 1.00, 1.00, 1.00, 1.00
		-12183.00, -2000.00, 17149.00, 1.00, 1.00, 1.00, 1.00
		-5241.00, -5000.00, 15942.00, 1.00, 1.00, 1.00, 1.00
		-5241.00, -2000.00, 15942.00, 1.00, 1.00, 1.00, 1.00
		10683.00, -5000.00, 18864.00, 1.00, 1.00, 1.00, 1.00
		10683.00, -2000.00, 18864.00, 1.00, 1.00, 1.00, 1.00
		14777.00, -5000.00, 18884.00, 1.00, 1.00, 1.00, 1.00
		14777.00, -2000.00, 18884.00, 1.00, 1.00, 1.00, 1.00
		18625.00, -5000.00, 18769.00, 1.00, 1.00, 1.00, 1.00
		18625.00, -2000.00, 18769.00, 1.00, 1.00, 1.00, 1.00
		22490.00, -5000.00, 17590.00, 1.00, 1.00, 1.00, 1.00
		22490.00, -2000.00, 17590.00, 1.00, 1.00, 1.00, 1.00
		25062.00, -5000.00, 15996.00, 1.00, 1.00, 1.00, 1.00
		25062.00, -2000.00, 15996.00, 1.00, 1.00, 1.00, 1.00
		26694.00, -5000.00, 13145.00, 1.00, 1.00, 1.00, 1.00
