#==============================================================================
#
# シーンデータスクリプト
# Author : masayasu wakita
#
#==============================================================================
SCRIPT

FIELDSET
	POS = 0.00 0.00 0.00
	VERTEXINFO
		-16447.00, -5000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-16447.00, -2000.00, -15390.00, 1.00, 1.00, 1.00, 1.00
		-15980.00, -5000.00, -15469.00, 1.00, 1.00, 1.00, 1.00
		-15980.00, -2000.00, -15469.00, 1.00, 1.00, 1.00, 1.00
		-12570.00, -5000.00, -15748.00, 1.00, 1.00, 1.00, 1.00
		-12570.00, -2000.00, -15748.00, 1.00, 1.00, 1.00, 1.00
		-10118.00, -5000.00, -15598.00, 1.00, 1.00, 1.00, 1.00
		-10118.00, -2000.00, -15598.00, 1.00, 1.00, 1.00, 1.00
		-8293.00, -5000.00, -15181.00, 1.00, 1.00, 1.00, 1.00
		-8293.00, -2000.00, -15181.00, 1.00, 1.00, 1.00, 1.00
		-4916.00, -5000.00, -14627.00, 1.00, 1.00, 1.00, 1.00
		-4916.00, -2000.00, -14627.00, 1.00, 1.00, 1.00, 1.00
		-1924.00, -5000.00, -14996.00, 1.00, 1.00, 1.00, 1.00
		-1924.00, -2000.00, -14996.00, 1.00, 1.00, 1.00, 1.00
		2226.00, -5000.00, -17468.00, 1.00, 1.00, 1.00, 1.00
		2226.00, -2000.00, -17458.00, 1.00, 1.00, 1.00, 1.00
		4982.00, -5000.00, -18370.00, 1.00, 1.00, 1.00, 1.00
		4982.00, -2000.00, -18370.00, 1.00, 1.00, 1.00, 1.00
		9406.00, -5000.00, -17908.00, 1.00, 1.00, 1.00, 1.00
		9406.00, -2000.00, -17908.00, 1.00, 1.00, 1.00, 1.00
		10652.00, -5000.00, -17175.00, 1.00, 1.00, 1.00, 1.00
		10652.00, -2000.00, -17175.00, 1.00, 1.00, 1.00, 1.00
		11324.00, -5000.00, -16025.00, 1.00, 1.00, 1.00, 1.00
		11324.00, -2000.00, -16025.00, 1.00, 1.00, 1.00, 1.00
		11708.00, -5000.00, -14939.00, 1.00, 1.00, 1.00, 1.00
		11708.00, -2000.00, -14939.00, 1.00, 1.00, 1.00, 1.00
		10348.00, -5000.00, -13464.00, 1.00, 1.00, 1.00, 1.00
		10348.00, -2000.00, -13464.00, 1.00, 1.00, 1.00, 1.00
		9634.00, -5000.00, -12517.00, 1.00, 1.00, 1.00, 1.00
		9634.00, -2000.00, -12517.00, 1.00, 1.00, 1.00, 1.00
		9592.00, -5000.00, -11192.00, 1.00, 1.00, 1.00, 1.00
		9592.00, -2000.00, -11192.00, 1.00, 1.00, 1.00, 1.00
		9577.00, -5000.00, -10092.00, 1.00, 1.00, 1.00, 1.00
		9557.00, -2000.00, -10092.00, 1.00, 1.00, 1.00, 1.00
		11361.00, -5000.00, -8619.00, 1.00, 1.00, 1.00, 1.00
		11361.00, -2000.00, -8619.00, 1.00, 1.00, 1.00, 1.00
